"Freq [MHz]","Gap [mm]","k1 []","I1 [A]","SolidLoss [W]"
1,0.5,0.6666666666666,1.4,0.1141848718
1,0.5,0.6666666666666,1.45,0.122486578
1,0.5,0.6666666666666,1.5,0.1310795722
1,0.5,0.6666666666666,1.55,0.1399638543
1,0.5,0.6666666666666,1.6,0.1491394244
1,0.5,0.6666666666666,1.65,0.1586062824
1,0.5,0.6666666666666,1.7,0.1683644283
1,0.5,0.6666666666666,1.75,0.1784138622
1,0.5,0.6666666666666,1.8,0.188754584
1,0.5,0.6666666666666,1.85,0.1993865937
1,0.5,0.6666666666666,1.9,0.2103098914
1,0.5,0.6666666666666,1.95,0.221524477
1,0.5,0.6666666666666,2,0.2330303506
1,0.5,0.6666666666666,2.05,0.2448275121
1,0.5,0.6666666666666,2.1,0.2569159615
1,0.5,0.6666666666666,2.15,0.2692956989
1,0.5,0.6666666666666,2.2,0.2819667242
1,0.5,0.6666666666666,2.25,0.2949290374
1,0.5,0.6666666666666,2.3,0.3081826386
1,0.5,0.6666666666666,2.35,0.3217275278
1,0.5,0.6666666666666,2.4,0.3355637048
1,0.5,0.6666666666666,2.45,0.3496911698
1,0.5,0.6666666666666,2.5,0.3641099228
1,0.5,0.6666666666666,2.6,0.3938212925
1,0.5,0.6666666666666,2.8,0.4567394871
1,0.5,0.6666666666666,3,0.5243182888
1,0.5,0.6666666666666,3.2,0.5965576975
1,0.5,0.6666666666666,3.4,0.6734577132
1,0.5,0.6666666666666,3.6,0.7550183359
1,0.5,0.6666666666666,3.8,0.8412395656
1,0.5,0.6666666666666,4,0.9321214023
1,0.5,0.6666666666666,4.2,1.027663846
1,0.5,0.6666666666666,4.4,1.127866897
1,0.5,0.6666666666666,4.6,1.232730555
1,0.5,0.6666666666666,4.8,1.342254819
1,0.5,0.6666666666666,5,1.456439691
